server,serial,db_serial,odoo_link,name,contact,Area,timeout,ip
abdin-197,197,116,https://10.103.0.212,فرع السيل اسوان (احمد جلال),197-فرع السيل اسوان (احمد جلال),اسوان,2,10.103.0.212
abdin-184,184,109,https://10.103.0.227,فرع هاله عبدالعظيم اسوان,184-فرع هاله عبدالعظيم اسوان,اسوان,2,10.103.0.227
abdin-195,195,115,https://10.103.0.229,فرع جلال اسوان,195-فرع جلال اسوان,اسوان,2,10.103.0.229
abdin-69,69,79,https://10.103.0.126,فرع الكورنيش اسوان,69-فرع الكورنيش اسوان,اسوان,2,10.103.0.126
abdin-58,58,85,https://10.103.0.82,فرع الزهراء اسوان,58-فرع الزهراء اسوان,اسوان,2,10.103.0.82
abdin-183,183,110,https://10.103.0.114,فرع القدس اسوان,183-فرع القدس اسوان,اسوان,2,10.103.0.114
abdin-92,92,83,https://10.103.0.226,فرع العقاد اسوان,92-فرع العقاد اسوان,اسوان,2,10.103.0.226
abdin-56,56,98,https://10.103.0.73,فرع الهلالي اسيوط,56-فرع الهلالي اسيوط,اسيوط,2,10.103.0.73
abdin-185,185,111,https://10.103.0.69,فرع التلفزيون الاقصر,185-فرع التلفزيون الاقصر,الاقصر,2,10.103.0.69
abdin-188,188,113,https://10.103.0.81,فرع المدينة المنورة الاقصر,188-فرع المدينة المنورة الاقصر,الاقصر,2,10.103.0.81
abdin-165,165,67,https://10.103.0.67,فرع العوامية الاقصر,165-فرع العوامية الاقصر,الاقصر,2,10.103.0.67
abdin-31,31,101,https://10.103.0.241,فرع المساحة الجيزة,31-فرع المساحة الجيزة,الجيزة,2,10.103.0.241
abdin-7,7,96,https://10.103.0.222,فرع خاتم المرسلين الجيزة,7-فرع خاتم المرسلين الجيزة,الجيزة,2,10.103.0.222
abdin-19,19,105,https://10.103.0.145,فرع ترسا 1 الجيزة,19-فرع ترسا 1 الجيزة,الجيزة,2,10.103.0.145
abdin-77,77,95,https://10.103.0.70,فرع المحطة الجيزة,77-فرع المحطة الجيزة,الجيزة,2,10.103.0.70
abdin-9,9,93,https://10.103.0.75,فرع اللبيني الجيزة,9-فرع اللبيني الجيزة,الجيزة,2,10.103.0.75
abdin-168,168,91,https://10.103.0.140,فرع عرابيا الغردقة,168-فرع عرابيا الغردقة,الغردقة,2,10.103.0.140
abdin-102,102,3,https://10.103.0.181,فرع الكوثر 1 الغردقة,102-فرع الكوثر 1 الغردقة,الغردقة,2,10.103.0.181
abdin-26,26,2,https://10.103.0.245,فرع النصر الغردقة,26-فرع النصر الغردقة,الغردقة,2,10.103.0.245
abdin-101,101,4,https://10.103.0.225,فرع شيراتون الغردقة,101-فرع شيراتون الغردقة,الغردقة,2,10.103.0.225
abdin-126,126,71,https://10.103.0.128,فرع الكوثر 2 الغردقة,126-فرع الكوثر 2 الغردقة,الغردقة,2,10.103.0.128
abdin-167,167,92,https://10.103.0.168,فرع الاحياء الغردقة,167-فرع الاحياء الغردقة,الغردقة,2,10.103.0.168
abdin-48,48,100,https://10.103.0.200,فرع جنينة مول القاهرة,48-فرع جنينة مول القاهرة,القاهرة,2,10.103.0.200
abdin-28,28,103,https://10.103.0.253,فرع هليوبوليس القاهرة,28-فرع هليوبوليس القاهرة,القاهرة,2,10.103.0.253
abdin-53,53,99,https://10.103.0.192,فرع المعادي 2 القاهرة,53-فرع المعادي 2 القاهرة,القاهرة,2,10.103.0.192
abdin-29,29,102,https://10.103.0.53,فرع العتبة القاهرة,29-فرع العتبة القاهرة,القاهرة,2,10.103.0.53
abdin-177,177,107,https://10.103.0.32,فرع العباسية 1 القاهرة,177-فرع العباسية 1 القاهرة,القاهرة,2,10.103.0.32
abdin-83,83,94,https://10.103.0.228,فرع السادات 1 المنوفية,83-فرع السادات 1 المنوفية,المنوفية,2,10.103.0.228
abdin-169,169,90,https://10.103.0.28,فرع مى صيام سفاجا,169-فرع مى صيام سفاجا,سفاجا,2,10.103.0.28
abdin-175,175,63,https://10.103.0.127,فرع محمد فقير جرجا سوهاج,175-فرع محمد فقير جرجا سوهاج,سوهاج,2,10.103.0.127
abdin-187,187,112,https://10.103.0.138,فرع ابراهيم حسن جهينة سوهاج,187-فرع ابراهيم حسن جهينة سوهاج,سوهاج,2,10.103.0.138
abdin-1,1,78,https://10.103.0.40,فرع العروبة 1 سوهاج,1-فرع العروبة 1 سوهاج,سوهاج,2,10.103.0.40
abdin-107,107,73,https://10.103.0.95,فرع طهطا 1 سوهاج,107-فرع طهطا 1 سوهاج,سوهاج,2,10.103.0.95
abdin-65,65,81,https://10.103.0.27,فرع البلينا الهلال سوهاج,65-فرع البلينا الهلال سوهاج,سوهاج,2,10.103.0.27
abdin-11,11,66,https://10.103.0.74,فرع دار السلام 2 سوهاج,11-فرع دار السلام 2 سوهاج,سوهاج,2,10.103.0.74
abdin-176,176,62,https://10.103.0.199,فرع اليزابيث سوهاج,176-فرع اليزابيث سوهاج,سوهاج,2,10.103.0.199
abdin-94,94,65,https://10.103.0.180,فرع برج القضاة سوهاج,94-فرع برج القضاة سوهاج,سوهاج,2,10.103.0.180
abdin-84,84,68,https://10.103.0.147,فرع التامينات سوهاج,84-فرع التامينات سوهاج,سوهاج,2,10.103.0.147
abdin-127,127,70,https://10.103.0.133,فرع الزهراء سوهاج,127-فرع الزهراء سوهاج,سوهاج,2,10.103.0.133
abdin-123,123,72,https://10.103.0.38,فرع الكورنيش الغربي سوهاج,123-فرع الكورنيش الغربي سوهاج,سوهاج,2,10.103.0.38
abdin-38,38,74,https://10.103.0.66,فرع الشهيد 1 سوهاج,38-فرع الشهيد 1 سوهاج,سوهاج,2,10.103.0.66
abdin-54,54,75,https://10.103.0.31,فرع الشهيد 2 سوهاج,54-فرع الشهيد 2 سوهاج,سوهاج,2,10.103.0.31
abdin-5,5,76,https://10.103.0.89,فرع الجمهورية سوهاج,5-فرع الجمهورية سوهاج,سوهاج,2,10.103.0.89
abdin-32,32,77,https://10.103.0.79,فرع الشرق سوهاج,32-فرع الشرق سوهاج,سوهاج,2,10.103.0.79
abdin-180,180,108,https://10.103.0.189,فرع النمر سوهاج,180-فرع النمر سوهاج,سوهاج,2,10.103.0.189
abdin-189,189,114,https://10.103.0.80,فرع تبارك اخميم سوهاج,189-فرع تبارك اخميم سوهاج,سوهاج,2,10.103.0.80
abdin-198,198,117,https://10.103.0.54,فرع ايهاب سوهاج,198-فرع ايهاب سوهاج,سوهاج,2,10.103.0.54
abdin-10,10,82,https://10.103.0.173,فرع دار السلام 1 سوهاج,10-فرع دار السلام 1 سوهاج,سوهاج,2,10.103.0.173
abdin-108,108,69,https://10.103.0.169,فرع طهطا 2 سوهاج,108-فرع طهطا 2 سوهاج,سوهاج,2,10.103.0.169
abdin-81,81,88,https://10.103.0.186,فرع البلينا الحسين سوهاج,81-فرع البلينا الحسين سوهاج,سوهاج,2,10.103.0.186
abdin-201,201,118,https://10.103.0.85,فرع النيل قوص قنا,201-فرع النيل قوص قنا,قنا,2,10.103.0.85
abdin-66,66,80,https://10.103.0.101,فرع نجع حمادي قنا,66-فرع نجع حمادي قنا,قنا,2,10.103.0.101
abdin-57,57,84,https://10.103.0.105,فرع الطب النبوي قنا,57-فرع الطب النبوي قنا,قنا,2,10.103.0.105
abdin-78,78,64,https://10.103.0.224,فرع ابو تشت قنا,78-فرع ابو تشت قنا,قنا,2,10.103.0.224
